"","as.numeric(DOY)","meanSR1","meanSR2","meanSR3","meanSR4","meanST1","meanST2","meanST3","meanST4","meanSM1","meanSM2","meanSM3","meanSM4"
"144",146,0.701739130434783,0.427826086956522,0.553913043478261,0.376842105263158,31.6136956521739,30.9959565217391,31.1233913043478,29.7841739130435,0.0426935884347826,0.0529386950434783,0.0204563715652174,0.0573128886956522
"145",147,0.63375,0.390833333333333,0.52875,0.523571428571429,32.0159583333333,31.2584166666667,31.2152083333333,30.1676666666667,0.0429182245,0.0530903978333333,0.0203903805,0.0574889045
"146",148,0.56875,0.394583333333333,0.485416666666667,0.46375,32.0562916666667,31.5894583333333,31.0514583333333,31.0192916666667,0.0428271409166667,0.0528780439166667,0.0199276359166667,0.0577228363333333
"147",149,0.574166666666667,0.395833333333333,0.490833333333333,0.415,31.790125,31.4842083333333,31.2996666666667,31.2342916666667,0.0423223133333333,0.0524399483333333,0.0195901128333333,0.0573173086666667
"148",150,0.557083333333333,0.429583333333333,0.520833333333333,0.372916666666667,29.9062916666667,29.7654166666667,26.9404166666667,29.8402916666667,0.0413067968333333,0.0515010025,0.04132284325,0.0565306049166667
"149",151,0.517083333333333,0.394583333333333,0.483333333333333,0.350952380952381,30.4898333333333,30.5615833333333,27.909125,30.3395833333333,0.04277945825,0.0533727545833333,0.0650675956666667,0.0580921423333333
"150",152,0.485833333333333,0.367083333333333,0.421666666666667,0.421538461538462,29.2094166666667,29.7871666666667,27.250875,29.1975,0.04175538525,0.0523293016666667,0.0623260466666667,0.05676516475
"151",153,0.505,0.378333333333333,0.517083333333333,0.475555555555556,31.57925,31.434875,29.5937083333333,31.4065416666667,0.0434294629166667,0.0534458878333333,0.05579651975,0.0583458204166667
"152",154,0.56,0.412916666666667,0.549583333333333,0.394347826086957,33.8106666666667,33.0935416666667,32.0376666666667,33.4812916666667,0.0446696055,0.0546169434166667,0.0430496998333333,0.05982577275
"153",155,0.595416666666667,0.420416666666667,0.537083333333333,0.399565217391304,33.9042083333333,33.1616666666667,32.6175,33.2922083333333,0.0446421400833333,0.0546495113333333,0.0357899648333333,0.0597154139166667
"154",156,0.658695652173913,0.426521739130435,0.586521739130435,0.415217391304348,34.3517826086957,33.5206086956522,33.3256956521739,33.6003043478261,0.0445807837391304,0.0544615419130435,0.0321270877391304,0.0600557306956522
"155",157,0.685833333333333,0.44375,0.59125,0.405,35.3685416666667,34.318375,34.35525,34.3016666666667,0.0454246405833333,0.05515580425,0.0309136128333333,0.06036403175
"156",158,0.870833333333333,0.710416666666667,0.824166666666667,0.4675,30.320875,29.848125,29.9487916666667,29.2341666666667,0.0424608798333333,0.053180863,0.0283193220833333,0.0579019515833333
