date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,sdSWC5,meanSWC15,sdSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco
2015-03-25,14.639791666666667,15.106041666666666,0,0,25.909674725833334,23.736823127708334,14.416666666666666,0.5771741971072866,18.875,0.33411729649522337,25.619791666666668,16.658333333333335,16.995833333333334,16.56041666666667,-1.2475747073527084,1.5866626597875,0.3390879524375,0.16798918150346548
2015-03-26,16.355,16.820208333333333,0,0,21.33513288875,19.197494083541667,14.125,0.7032873461264124,18.270833333333332,0.44901741315991645,25.477083333333333,17.79375,17.88125,16.695833333333333,-1.1110177613583334,1.5260601873979167,0.41504242606249997,0.24478654049624202
2015-03-27,19.09375,19.925625,0,0,14.731176532208334,13.129693224895833,13.645833333333334,0.7850090540706584,17.916666666666668,0.2793101938654641,25.36125,18.897916666666667,18.822916666666668,17.31041666666667,-1.5274086087422916,1.9447922356104166,0.4173836268916667,0.12177633464392668
2015-03-28,20.203333333333333,21.251875,0,0,14.0938574270625,12.029232416166666,13.208333333333334,0.6173087996086483,17.0625,0.24434587339940886,25.168541666666666,19.620833333333334,19.525,17.8875,-1.57523672234375,2.1258841310416665,0.5506474086520833,0.1396926362948788
2015-03-29,20.61895833333333,21.66229166666667,0,0,14.7264519225,12.584695481791666,12.4375,0.5011252415386298,16.833333333333332,0.37635181958416686,24.647916666666667,19.689583333333335,19.920833333333334,18.395833333333332,-1.33023437023125,2.09001348709125,0.7597791168395833,0.1592310109913788
2015-03-30,20.446458333333332,21.101875,0,0,20.068175951666667,17.785714815416668,12.25,0.4374401010624571,16.375,0.4890382629209776,24.313958333333332,20.10625,20.37708333333333,18.65625,-0.9872382818666666,1.99598952250625,1.0087512406583334,0.2837995030563046
2015-03-31,18.52125,18.806041666666665,0,0,36.16458523208333,34.090158878125,11.770833333333334,0.659839488923725,16.1875,0.39435687713121126,23.636666666666667,21.070833333333333,21.4375,19.210416666666667,-1.4223979120520833,2.4623573831245835,1.03995947106875,0.1912157921455302
2015-04-01,17.455833333333334,17.784791666666667,0,0,38.36913950770833,36.432317417291664,11.375,0.48924605479008165,15.791666666666666,0.41016635257559136,22.98375,20.520833333333332,20.985416666666666,19.472916666666666,-1.44819777021375,2.5232198280229166,1.0750220578395833,0.22088628953521572
2015-04-02,17.420416666666668,17.940625,0,0,20.275718626041666,18.604102776541666,10.708333333333334,0.7133004194479721,15.395833333333334,0.4940668668994991,22.234166666666667,19.927083333333332,20.564583333333335,19.44375,-1.5396267350470834,2.639019358269771,1.09939262329375,0.21866693777842758
2015-04-03,16.833958333333335,17.611875,0,0,19.072415036979166,17.003372483,10.354166666666666,0.4832510020039735,15.166666666666666,0.3765318204201448,21.5225,19.235416666666666,19.935416666666665,19.239583333333332,-1.9197393957479167,2.91570686269375,0.9959674670416666,0.14882702092123723
2015-04-04,18.47,19.066041666666667,0,0,17.483497197083334,15.527492316875,10.145833333333334,0.6183849461683657,14.770833333333334,0.4246646224682982,20.94625,19.535416666666666,19.933333333333334,19.102083333333333,-1.3329956959583333,2.33823288760625,1.0052371916,0.16519655417392867
2015-04-05,17.696666666666665,18.2175,0,0,18.964905525958333,17.3885365930625,9.625,0.6055990734269368,14.625,0.48924605479008165,20.424791666666668,19.610416666666666,20.202083333333334,19.202083333333334,-1.7482086879725,2.7153247792777084,0.9671160913104166,0.17984511529451286
2015-04-06,17.412916666666668,17.768958333333334,0,0,21.02626419175,19.485238472854167,9.458333333333334,0.5439632447073874,14.458333333333334,0.5034663240460902,19.9325,19.960416666666667,20.533333333333335,19.310416666666665,-1.47926151504375,2.4317747885791667,0.9525132736083334,0.2090966152154844
2015-04-07,17.756458333333335,18.060625,0,0,20.67777394604167,19.324404657916666,9.291666666666666,0.5033317199153032,14.333333333333334,0.476321944453152,19.361250000000002,19.710416666666667,20.329166666666666,19.354166666666668,-1.2662656414585416,2.3691389480708334,1.1028733066270833,0.29709510028435365
2015-04-08,15.334166666666667,15.649375000000001,0,0,26.377267297729166,24.29558040125,9.125,0.672253211637241,14.270833333333334,0.44901741315991645,18.921666666666667,20.6125,20.695833333333333,19.604166666666668,-1.5739173170541667,2.596909429495,1.0229921124833334,0.20298892699427862
2015-04-09,15.117583333333334,15.709583333333333,0,0,23.160468851895832,21.264670386416668,8.583333333333334,0.6789146839837763,13.916666666666666,0.5771741971072866,18.456666666666667,19.622916666666665,19.960416666666667,19.552083333333332,-1.5507267202789583,2.653095391377083,1.10236867115,0.27159970215760854
2015-04-10,17.251041666666666,17.614375,0,0,19.364457949625,18.107706868291668,8.479166666666666,0.6184397313564841,13.75,0.4836393630660085,18.100416666666668,20.045833333333334,20.35625,19.472916666666666,-1.43402572634375,2.7141089707401664,1.2800832443166668,0.22552497566307012
2015-04-11,17.0875,17.289791666666666,0,0,27.027103833729168,25.928690723062502,8.291666666666666,0.5440877972418736,13.625,0.48924605479008165,17.764375,20.691666666666666,20.81458333333333,19.6875,-1.29369702884375,2.69815914781125,1.4044621189375,0.26427954177826307
2015-04-12,10.016666666666667,10.144166666666667,6.858,10,85.61670207416667,82.84688426375,8.104166666666666,0.37110522845120725,13.1875,0.39435687713121126,17.006666666666668,16.389583333333334,18.49375,19.635416666666668,0.6224775519724917,0.3877543231211875,1.0102318751083335,0.07196604025065939
2015-04-13,13.49725,13.7976875,0.889,2,61.130739212083334,57.76257463520833,10.9375,1.4202646635495892,12.9375,0.7552107015394184,17.219791666666666,17.029166666666665,17.2875,17.920833333333334,-0.62315671044375,1.9208921112189583,1.2977354008166666,0.3032674340246555
2015-04-14,15.561458333333334,15.636666666666667,0,0,43.963992636875,42.26819514770833,11.541666666666666,0.7705636584207572,13.395833333333334,0.49420399497827033,17.19625,18.172916666666666,18.195833333333333,18.233333333333334,-0.8164566883770834,2.2235026306452084,1.4070459422520833,0.264047430430865
2015-04-15,16.606458333333332,16.783125000000002,0,0,27.863454687083333,26.309959800416667,11.229166666666666,0.6913820235403736,13.395833333333334,0.49420399497827033,17.199166666666667,18.891666666666666,19.277083333333334,18.69375,-0.84077892726875,2.3124113288541666,1.471632401575,0.3431848417664977
2015-04-16,10.449145833333333,10.5564375,0,0,13.462529349875,12.642488317229166,10.75,0.837849711994862,13.270833333333334,0.44901741315991645,16.891875,17.966666666666665,18.479166666666668,18.725,-1.2599133888720833,2.2537132516572917,0.9937998628354167,0.2330867584154025
2015-04-17,11.3975625,11.696041666666666,0,0,16.906161373958334,15.477965325208334,10.541666666666666,0.8494090217079365,13.020833333333334,0.6990816548797569,16.778333333333332,17.775,17.808333333333334,18.3125,-1.1365570038354167,2.1049359040395834,0.9683789002479166,0.2529233524305751
2015-04-18,14.051895833333333,14.445416666666667,0,0,19.848139813541668,18.161598976666667,10.229166666666666,0.6599421727217674,13.0625,0.665446578574246,16.613541666666666,18.78125,18.520833333333332,18.447916666666668,-1.2265895881757083,2.2341672306020834,1.0075776424104166,0.20731190716686734
2015-04-19,17.060625,17.668125,0,0,17.790200895958332,15.7908639263125,9.9375,0.8354250526020379,13.1875,0.6067518309019716,16.508958333333332,20,19.75625,18.88125,-0.9914936394770834,2.0765515640729166,1.08505792458125,0.19019966062075844
2015-04-20,17.876041666666666,18.337916666666665,0,0,18.394609266458332,16.658584497291667,9.520833333333334,0.7433336716599499,13.229166666666666,0.5548550228299572,16.351041666666667,20.93125,20.99375,19.51875,-0.92905772303125,2.0051458374208333,1.0760881143854166,0.22546959943547332
2015-04-21,16.918333333333333,17.301666666666666,0,0,20.690288490916668,19.219776247666665,9.125,0.6057109518990799,13.208333333333334,0.5439009573543256,16.24,21.28125,21.614583333333332,19.9875,-1.388855574985,2.3419656602645835,0.9531100853083333,0.15116277352334134
2015-04-22,16.258333333333333,16.528125,0,0,22.536548227708334,21.242928518541667,8.416666666666666,0.4981557895698717,12.9375,0.5979209700541991,16.007708333333333,20.889583333333334,21.483333333333334,20.158333333333335,-1.4701626527345832,2.3881283193895833,0.9179656667,0.2016922153964126
2015-04-23,15.717291666666666,15.803541666666666,0,0,30.326237816458335,29.418141164375,8.25,0.5648127272158069,12.729166666666666,0.44901741315991645,15.821041666666666,20.68125,21.414583333333333,20.2,-1.2453252673452084,2.1833962737270833,0.9380710064145833,0.207276167504206
2015-04-24,12.734583333333333,12.8075625,0,0,42.216389735,41.788712188541666,7.75,0.6357574690684401,12.604166666666666,0.4940668668994991,15.547708333333333,19.610416666666666,20.547916666666666,20.03125,-1.1366447221777083,2.1215317480860416,0.98488702584375,0.5255468069785648
2015-04-25,14.879166666666666,15.050833333333333,0,0,35.24917460604167,34.02043687145833,7.770833333333333,0.8052485008547304,12.479166666666666,0.5047852282729014,15.546041666666667,19.889583333333334,20.529166666666665,19.677083333333332,-1.166584669615,2.313870949597917,1.1472862800854167,0.275843867084666
2015-04-26,10.224270833333334,10.343125,2.4130000000000003,2,52.93754136104167,51.42490970833333,7.270833333333333,0.448866481423193,12.041666666666666,0.20160511441770687,15.258541666666666,17.52916666666667,18.916666666666668,19.7,-0.41529860080416664,1.3518463227879167,0.9365477219625,0.3974153432299282
2015-04-27,13.34625,13.5675,0,0,44.11160746854166,42.5940315,7.8125,0.8161420739736825,12.020833333333334,0.7851816696421916,15.095625,18.258333333333333,18.35,18.485416666666666,-0.6621592580925,1.5748516847604166,0.9126924266333334,0.17974886829541212
2015-04-28,14.689583333333333,14.52875,0,0,35.53883212708333,35.556970724375,7.895833333333333,0.8311287870121391,12.354166666666666,0.48332110525006233,14.952083333333333,20.50625,20.225,19.2125,-0.52009644919375,1.5433077706277083,1.0232113214166667,0.3589799068956866
2015-04-29,16.79375,16.86625,0,0,19.982841802916667,19.21552079875,7.833333333333333,0.8587114611232265,12.4375,0.5012604386860637,14.95125,21.85625,21.333333333333332,19.91875,-0.7098562500375,1.6331814035845833,0.9233251535166667,0.13810160090870596
2015-04-30,19.914791666666666,20.474375,0,0,14.470949452395834,13.184117993541667,7.645833333333333,0.7850953669246267,12.479166666666666,0.5047852282729014,14.955,23.189583333333335,22.675,20.620833333333334,-0.6824038032702083,1.7115895496083333,1.0291857463375,0.1856550418176207
2015-05-01,22.641458333333333,23.154791666666668,0,0,13.68436511025,12.543508911208333,7.4375,0.8968755528224022,12.583333333333334,0.4981557893995737,14.974791666666667,24.59375,23.985416666666666,21.510416666666668,-0.578731907328125,1.7257351953979168,1.1470032880541667,0.15447526825093805
2015-05-02,20.12625,20.628541666666667,0,0,25.740861722291665,23.625850251875,7,0.743631770665979,12.541666666666666,0.5034663240460902,14.729375000000001,24.164583333333333,24.216666666666665,22.158333333333335,-0.6136512689695833,1.6647857777791666,1.0511345088,0.14458832064860758
2015-05-03,19.336666666666666,19.703958333333333,0,0,32.87740319416667,31.043852685625,6.895833333333333,0.778334245017397,12.479166666666666,0.5047852282729014,14.595833333333333,23.960416666666667,24.18125,22.245833333333334,-0.8156794330270833,1.8437868966666666,1.02810746365,0.1527386441173979
2015-05-04,17.555416666666666,17.60333333333333,0,0,42.49479002479167,41.89908517125,6.645833333333333,0.7575995400093692,12.416666666666666,0.4981557893995737,14.5475,23.604166666666668,24.277083333333334,22.358333333333334,-0.8679565272229166,1.8529811863354166,0.9850246591145834,0.21154949778902357
2015-05-05,14.96375,15.149791666666667,0.889,2,54.90936649270833,52.486386090208335,6.4375,0.5011928450095704,12.020833333333334,0.14410264914648815,14.353333333333333,21.475,22.535416666666666,22.039583333333333,-0.8486500649375,1.6725005763375,0.8238505114166667,0.1478856077334589
2015-05-06,17.413125,17.755208333333332,0,0,29.495110482520833,27.919440186583333,6.791666666666667,0.7978250577006437,12.0625,0.7264449410574769,14.219791666666667,22.49375,22.764583333333334,21.470833333333335,-0.7033803791689583,1.6323659958810417,0.9289856167333334,0.15555548282556567
2015-05-07,16.486875,16.488125,0,0,35.738315147916666,35.163286395,6.666666666666667,0.7808494086546404,12.270833333333334,0.5737078456011503,14.23,23.258333333333333,23.554166666666667,21.825,-0.8936255443591666,1.770167399086875,0.8765418546541667,0.13730731970135351
2015-05-08,15.075875,15.109375,0,0,30.966184575416666,30.327017105625,6.395833333333333,0.6096114536572101,12.104166666666666,0.554977131100217,14.108958333333334,22.66875,23.495833333333334,22.014583333333334,-0.7233057394020833,1.6003639698729166,0.8770582305229166,0.19234083324366463
2015-05-09,11.42875,11.3829375,0,0,35.70489415583334,35.740188134166665,NA,NA,NA,NA,14.04,NA,NA,NA,-0.5829608214370834,1.2531458041520833,0.6701849827583334,0.14498084226086516
2015-05-10,14.659770833333333,14.833958333333333,0,0,26.180754440416667,24.9736505025,6.069767441860465,0.8279449267746446,11.674418604651162,0.6444240777830839,14.080208333333333,23.316279069767443,22.569767441860463,21.558139534883722,-0.6227361755229167,1.3315272790479167,0.7087911034875,0.16032664244480285
2015-05-11,19.158125,19.321041666666666,0,0,18.3985438536875,17.827135905145834,6.041666666666667,0.8240207852425626,11.708333333333334,0.4592658793761202,13.914375,22.954166666666666,22.897916666666667,21.925,-0.52852681060125,1.2820133599833334,0.75348654938125,0.11667103218390375
2015-05-12,16.178541666666668,16.610208333333333,0,0,27.050701937708332,25.941703442916666,5.541666666666667,0.5035336128708591,11.395833333333334,0.49420399497827033,13.795416666666666,19.664583333333333,21.245833333333334,21.739583333333332,-0.32598117514062497,0.9988419444520833,0.6728607693791666,0.09545655937240993
2015-05-13,16.798875,16.881875,0,0,42.801818912916666,42.187934715208335,5.895833333333333,0.8312103102978962,11.479166666666666,0.5047852282729014,13.564166666666667,21.708333333333332,21.654166666666665,20.879166666666666,-0.44031832160208334,1.1224869692933332,0.6821686476520833,0.1721009252508841
