DOY,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,Season,high_day,Rain_DOY,Pulse_Days,Pulse_DOY
157,23.383333333333333,24.22833333333333,0,0,22.626372706875,21.536180775833333,4.14375,8.514583333333333,14.716666666666667,27.789583333333333,26.91875,24.99375,-0.3235194613479167,1.057640149281875,0.7341206879083333,0.28859131696857226,Spring,0,0,0,0
158,23.763125,24.584791666666668,0,0,28.558838718604168,27.535167844229168,4.102083333333333,8.429166666666667,14.635416666666666,28.104166666666668,27.425,25.322916666666668,-0.11664849388395833,0.8946826074645834,0.7780341135895833,0.22168539949759644,Spring,0,0,0,0
159,23.871041666666667,24.919375,0,0,15.188353569854167,14.4390447093125,4.060416666666667,8.341666666666667,14.610416666666667,28.197916666666668,27.666666666666668,25.48125,-0.2765803862247917,1.0923079627729166,0.8157275765187499,0.14145541279225426,Spring,0,0,0,0
160,25.487916666666667,26.362708333333334,0,0,14.6262767693125,14.114107457791667,4.077083333333333,8.29375,14.49375,29.191666666666666,28.075,25.81458333333333,0.1322033064675,0.8912111386479167,1.0234144451520832,0.4495161371680982,Spring,0,0,0,0
161,22.541666666666668,22.999166666666667,0,0,38.30248035541667,38.45921672958333,4.004166666666666,8.23125,14.341666666666667,29.497916666666665,28.483333333333334,26.53333333333333,0.4047028974675,0.6750785048052084,1.0797814022645833,0.31880375716558557,Spring,0,0,0,0
162,24.399791666666665,24.97479166666667,0,0,31.175838435,30.878887544375,4.01875,8.383333333333333,14.420833333333334,29.345833333333335,27.789583333333333,26.25625,-0.06919206732625001,0.9986045517727083,0.9294124844041667,0.18358960698332816,Spring,0,0,0,0
163,27.383125,28.5175,0,0,13.339333666625,12.680369604479166,3.9895833333333335,8.216666666666667,14.35625,29.664583333333333,28.547916666666666,26.65625,-0.008498532076374998,0.8741001633458333,0.865601631275,0.11353669381709544,Spring,0,0,0,0
164,27.836875,28.808541666666667,0,0,13.365918527145833,12.6688451398125,3.9104166666666664,8.1625,14.352083333333333,29.497916666666665,28.945833333333333,26.810416666666665,-0.04775843057375,0.8152216341716667,0.76746320355625,0.2069864269878534,Spring,0,0,0,0
165,25.709791666666668,26.421875,0,0,16.7584492734375,16.125468521541666,3.8625,8.120833333333334,14.39375,29.48125,29.091666666666665,26.83125,-0.04141927231041667,0.6904584892670833,0.6490392169520833,0.18468330056306512,Spring,0,0,0,0
166,23.799375,24.696875,0,0,14.302118833895834,13.835646252583334,3.8333333333333335,8.191666666666666,14.370833333333334,29.5125,28.925,26.910416666666666,-0.21838278145104167,0.7688118852916667,0.55042910384375,0.12683721981500576,Spring,0,0,0,0
167,25.17809523809524,26.044285714285714,0,0,16.19060911295238,15.709053638833334,3.7523809523809524,8.24047619047619,14.369047619047619,29.626190476190477,28.70714285714286,26.916666666666668,-0.03199823454380952,0.6472154019440476,0.6152171673857143,0.20119450424970586,Spring,0,0,0,0
175,27.667333333333332,28.112666666666666,0,0,9.152870578,9.582574897233334,3.7466666666666666,8.166666666666666,14.52,32.60333333333333,29.73,27.133333333333333,0.4588065489229333,0.314100669296,0.7729072182433333,0.16869203754662968,Spring,0,0,0,0
176,25.764166666666668,26.704583333333332,0,0,13.605775185833334,12.880052110875,3.46875,8.2375,14.43125,30.44375,29.60625,27.564583333333335,0.5053276491474583,0.3164532991389583,0.8217809482875,0.32696917024256084,Spring,0,0,0,0
177,25.8475,26.716666666666665,0,0,19.21048684125,18.036815032916667,3.464583333333333,8.2,14.364583333333334,30.752083333333335,30.070833333333333,27.89375,0.29479089483554166,0.4058907726,0.70068166743125,0.11946429815111888,Spring,0,0,0,0
178,27.284166666666668,27.969375,0,0,22.024148117291666,20.839453198125,3.5416666666666665,8.127083333333333,14.314583333333333,31.6375,30.54375,28.152083333333334,0.4362171954464583,0.402544055964375,0.8387612514125,0.29112520486205407,Spring,0,0,0,0
179,27.528125,28.15,0,0,25.870392704791666,24.796886273541666,3.5479166666666666,8.102083333333333,14.21875,31.820833333333333,30.866666666666667,28.695833333333333,0.392502077641375,0.4134127081314583,0.8059147857625,0.13401237110331177,Spring,0,0,0,0
180,28.284166666666668,28.700625,0,0,27.12419817375,26.121266147291667,3.5520833333333335,8.141666666666667,14.1625,31.89375,30.75,28.81875,0.6423901110999791,0.34637084416145836,0.9887609552625,0.6031301655121608,Spring,0,0,0,0
181,27.419375,28.11625,0,0,27.588928834791666,26.222788440208333,3.5760869565217392,8.236956521739131,14.18695652173913,31.51086956521739,30.48913043478261,28.828260869565216,0.22989930494479166,0.64049060485,0.8703899097875,0.1880600001361901,Spring,0,0,0,0
182,26.53729166666667,27.164583333333333,0,0,27.181107794583333,25.99501679229167,3.560416666666667,8.322916666666666,14.24375,31.614583333333332,30.239583333333332,28.7375,0.270292768373,0.6667389112291666,0.9370316796229167,0.32702364955028973,Summer,0,0,0,0
183,26.436458333333334,27.052708333333335,0,0,25.943340553104168,24.82252927375,3.5479166666666666,8.3375,14.214583333333334,31.910416666666666,30.429166666666667,28.920833333333334,0.15240921796145834,0.6529004877610417,0.80530970573125,0.12035281225816481,Summer,0,0,0,0
184,26.155208333333334,26.66,0,0,28.315829694583332,27.567697545833333,3.4854166666666666,8.295833333333333,14.179166666666667,32.075,30.835416666666667,29.110416666666666,0.20253155257645833,0.592500794875,0.7950323474916666,0.1149786394682493,Summer,0,0,0,0
185,26.188958333333332,26.758541666666666,0,0,27.176695848125,26.061226657083335,3.5145833333333334,8.2625,14.152083333333334,32.40416666666667,31.1125,29.25,0.16302206624895835,0.6083555520754167,0.7713776183354166,0.10889903292695988,Summer,0,0,0,0
186,22.017500000000002,22.757291666666667,0.762,2,50.705453568541664,49.347795166666664,3.3041666666666667,8.45625,14.152083333333334,30.291666666666668,30.352083333333333,29.3125,0.47076862950916665,0.4076138897322917,0.87838251923125,0.44353382167581196,Summer,0,0,0,0
187,22.10333333333333,22.529791666666668,0,0,54.149223373125,53.906616462708335,3.3375,8.8375,14.729166666666666,29.36875,28.539583333333333,28.1375,0.37606290912100004,0.4077603562354167,0.7838232653625,0.4126162329180639,Summer,0,0,0,0
193,26.750208333333333,27.1825,0,0,31.145570526458332,30.529265187291667,6.7125,8.170833333333333,14.379166666666666,30.93125,29.533333333333335,28.2625,0.427775302805,0.4031096095741667,0.8308849123854166,0.16105533824673654,Summer,0,0,0,0
194,26.560208333333332,27.241458333333334,0,0,32.152981323958336,30.776288004375,6.347916666666666,8.202083333333333,14.339583333333334,31.485416666666666,29.772916666666667,28.597916666666666,0.5195853764875,0.36523896826375,0.88482434473125,0.23112378708054246,Summer,0,0,0,0
195,25.875,26.589166666666667,0.254,1,37.69867279479167,36.1943796375,5.770833333333333,8.291666666666666,14.25625,30.70625,29.758333333333333,28.939583333333335,0.40359539203645833,0.6203415550745833,1.02393694713125,0.3876213457673156,Summer,0,0,0,0
196,26.289583333333333,27.242291666666667,0.254,1,38.35761123458333,35.906721411875,5.154166666666667,8.55625,14.4125,29.441666666666666,28.804166666666667,28.485416666666666,0.6107047145582708,0.6965025721770833,1.30720728668125,0.27364228269764856,Summer,0,0,0,0
197,27.925416666666667,28.770625,0,0,30.513490620208334,28.710700598541667,4.929166666666666,8.51875,14.504166666666666,30.03125,29.116666666666667,28.19375,0.63577995738715,1.0633133607083334,1.6990933180625,0.29464859328644877,Summer,0,0,0,0
203,24.488333333333333,24.866458333333334,0,0,51.913436925625,52.414105294375,5.195833333333334,8.533333333333333,14.508333333333333,30.460416666666667,28.70625,28.075,0.23400085426958334,0.87634094714125,1.1103418014541666,0.15421762804020434,Summer,0,0,0,0
204,22.987916666666667,23.301458333333333,0.889,3,59.449656045833336,59.48146143583333,4.883333333333334,8.606250000000001,14.525,29.99375,28.402083333333334,28.15625,0.387926761111875,0.5456340703729167,0.9335608314666667,0.431814507313041,Summer,0,0,0,0
205,25.285,25.65375,0,0,44.669410112916665,44.7867670925,4.71875,8.575,14.525,30.422916666666666,28.597916666666666,28.179166666666667,0.43624269783016667,0.4994019679637208,0.9356446657791667,0.3165198067796727,Summer,0,0,0,0
206,25.597708333333333,26.239375,0,0,46.03603692145833,45.72554273083333,4.489583333333333,8.427083333333334,14.4625,30.26875,29.0125,28.41875,0.15018121985020833,0.7444661345129167,0.89464735436875,0.14667859965538244,Summer,0,0,0,0
207,27.109166666666667,27.497916666666665,0,0,43.35624089416667,43.45898650125,4.395833333333333,8.322916666666666,14.479166666666666,30.952083333333334,29.285416666666666,28.4625,0.13001226127854168,0.8731580684710417,1.003170329775,0.16424635140284058,Summer,0,0,0,0
208,26.916458333333335,27.822499999999998,3.302,1,40.99551855854167,38.87896309395833,4.14375,8.420833333333334,14.447916666666666,29.375,28.989583333333332,28.70625,0.6641358842837292,0.6190554014425,1.28319128573125,0.7456600199981055,Summer,0,0,0,0
209,25.499375,26.012916666666666,0,0,46.351029825208336,45.64209189229167,4.14375,8.802083333333334,14.70625,27.73125,27.039583333333333,27.56875,0.385278283723125,0.8144278269875,1.1997061107437499,0.3856161152790969,Summer,0,0,0,0
217,25.848333333333333,26.665625,0,0,44.82956846041667,43.22518257666667,11.9,8.5,14.760416666666666,27.022916666666667,26.695833333333333,26.352083333333333,0.04971097241458333,2.7530212110583334,2.8027321834791667,0.3326791075792777,Summer,0,0,0,0
223,21.858958333333334,22.741458333333334,0.254,1,62.234376284375,60.43539602375,11.845833333333333,9.452083333333333,15.564583333333333,23.872916666666665,23.591666666666665,24.20625,-2.2136744607962497,4.551887614008333,2.3382131525416665,0.737513532200482,Summer,0,0,0,0
224,24.158333333333335,25.387083333333333,0,0,49.772710321666665,46.45299820541667,11.010416666666666,8.93125,15.372916666666667,24.9375,24.4375,24.489583333333332,-1.7527111939083333,4.064721064104167,2.3120098700625,0.2606167120872422,Summer,0,0,0,0
225,26.145833333333332,27.368541666666665,0,0,35.88165009791667,32.818510986875,10.0875,8.564583333333333,14.941666666666666,26.45,25.41875,24.983333333333334,-2.4162015351083332,4.699859075727083,2.28365754075,0.3061115261846186,Summer,0,0,0,0
