"","date","meanRsoil","max_pulse_duration","PulseM_15","NonPulseM_15","MeanM_15","case_when(...)","Rsoil_Combined"
"251",2017-09-10,1.25648611111111,0,1.43791744207076,1.27690486981929,1.39078539117266,1.27690486981929,1.27690486981929
"252",2017-09-11,1.24719444444444,0,1.51599393659868,1.30970038080631,1.43852877681373,1.30970038080631,1.30970038080631
"253",2017-09-12,1.20679861111111,0,1.46695125431132,1.25472603344738,1.37951812550442,1.25472603344738,1.25472603344738
"254",2017-09-13,1.22142857142857,0,1.48193591240346,1.22563788958179,1.36358787781293,1.22563788958179,1.22563788958179
"255",2017-09-14,1.18509722222222,0,1.41208930942143,1.1084296049236,1.2474114168135,1.1084296049236,1.1084296049236
"256",2017-09-15,1.08002777777778,0,1.25016898815535,0.972644616538978,1.09668076051523,0.972644616538978,0.972644616538978
"257",2017-09-16,1.03605555555556,0,1.26157398482797,0.994348644616505,1.11708441372076,0.994348644616505,0.994348644616505
"258",2017-09-17,0.976458333333333,0,1.21536247450458,0.946588255478298,1.06557988619545,0.946588255478298,0.946588255478298
"259",2017-09-18,0.949993055555556,0,1.19141705268897,0.950534387627683,1.06156349536844,0.950534387627683,0.950534387627683
"260",2017-09-19,0.955180555555556,0,1.20013605952676,0.938834654764265,1.05577469220143,0.938834654764265,0.938834654764265
"261",2017-09-20,0.919,0,1.24986225148708,0.990385804850066,1.11029427198718,0.990385804850066,0.990385804850066
"262",2017-09-21,0.970333333333333,0,1.1699251064618,0.860113008847084,0.983474415679854,0.860113008847084,0.860113008847084
"263",2017-09-22,0.996944444444444,0,1.12306927236303,0.773346914126077,0.898735002613627,0.773346914126077,0.773346914126077
"264",2017-09-23,0.892916666666667,0,1.0059777097454,0.776634229872414,0.866011625440757,0.776634229872414,0.776634229872414
"265",2017-09-24,0.822555555555556,0,1.01415518405792,0.809941767080218,0.897430766111809,0.809941767080218,0.809941767080218
"266",2017-09-25,0.756296296296296,0,0.904128253502202,0.755574570889653,0.822885774700022,0.755574570889653,0.755574570889653
"267",2017-09-26,0.760694444444444,0,0.935278856610853,0.749319002539054,0.823628104805118,0.749319002539054,0.749319002539054
"268",2017-09-27,0.779666666666667,0,1.02521379150747,0.784719107637479,0.87521320437291,0.784719107637479,0.784719107637479
"269",2017-09-28,0.745111111111111,0,1.00424953839315,0.778013101061638,0.862581469841904,0.778013101061638,0.778013101061638
"270",2017-09-29,0.78,0,1.06377061191253,0.799730019254512,0.899544417988307,0.799730019254512,0.799730019254512
"271",2017-09-30,0.782569444444444,0,1.05229906440134,0.781167717383337,0.88070314444824,0.781167717383337,0.781167717383337
"272",2017-10-01,0.743166666666667,0,0.998094997117378,0.760486739894617,0.85097460662885,0.760486739894617,0.760486739894617
"273",2017-10-02,0.708055555555556,0,0.920887979571599,0.607600701553714,0.70947106301095,0.607600701553714,0.607600701553714
"274",2017-10-03,0.687694444444444,0,0.95695063378083,0.672661013325178,0.767878474446614,0.672661013325178,0.672661013325178
"275",2017-10-04,0.700902777777778,0,1.01419751554928,0.705440210311825,0.813056389092526,0.705440210311825,0.705440210311825
"276",2017-10-05,0.811818181818182,0,0.991906086049083,0.702181903035325,0.807041933456846,0.702181903035325,0.702181903035325
"277",2017-10-06,0.728,0,0.946343012667874,0.66297897389285,0.767026157954149,0.66297897389285,0.66297897389285
"278",2017-10-07,0.603236111111111,0,0.845867633953983,0.619954424860696,0.697581961247675,0.619954424860696,0.619954424860696
"279",2017-10-08,0.622680555555556,0,0.848170533960398,0.593370074652657,0.681482166208097,0.593370074652657,0.593370074652657
"280",2017-10-09,0.591229166666667,0,0.854194691085552,0.616625339568318,0.698147422830564,0.616625339568318,0.616625339568318
"281",2017-10-10,0.569027777777778,0,0.872927645818453,0.693630173315449,0.752151124858579,0.693630173315449,0.693630173315449
"282",2017-10-11,0.586791666666667,0,0.886084975342216,0.631826258235264,0.714847592285695,0.631826258235264,0.631826258235264
"283",2017-10-12,0.651465277777778,0,0.930010014868342,0.625784865269786,0.728611571236364,0.625784865269786,0.625784865269786
"284",2017-10-13,0.575611111111111,0,0.896703842493581,0.617526092571313,0.710924578947102,0.617526092571313,0.617526092571313
"285",2017-10-14,0.572180555555556,0,0.929001171633281,0.659811217126867,0.753257691796457,0.659811217126867,0.659811217126867
"286",2017-10-15,0.545527777777778,0,0.885570762573302,0.631552329694394,0.711537710522231,0.631552329694394,0.631552329694394
"287",2017-10-16,0.544888888888889,0,0.880160762597005,0.623744874977004,0.70330086936338,0.623744874977004,0.623744874977004
"288",2017-10-17,0.551465277777778,0,0.90095322117135,0.620805547291314,0.710735491452992,0.620805547291314,0.620805547291314
"289",2017-10-18,0.544486111111111,0,0.929370216835217,0.61810217061627,0.71942868743016,0.61810217061627,0.61810217061627
"290",2017-10-19,0.504694444444444,0,0.834860401981621,0.581024086957267,0.662210008822627,0.581024086957267,0.581024086957267
"291",2017-10-20,0.506694444444444,0,0.754774599200487,0.531475256241196,0.604595364010354,0.531475256241196,0.531475256241196
"292",2017-10-21,0.461597222222222,0,0.754000334954379,0.572815400049299,0.633235991533652,0.572815400049299,0.572815400049299
"293",2017-10-22,0.448479166666667,0,0.726738997734089,0.536993806051477,0.595889740601729,0.536993806051477,0.536993806051477
"294",2017-10-23,0.439824561403509,0,0.68906130956574,0.523543938425366,0.574336826069126,0.523543938425366,0.523543938425366
"295",2017-10-24,0.449152777777778,0,0.793095848117921,0.573875617610823,0.640183269916706,0.573875617610823,0.573875617610823
"296",2017-10-25,0.416736111111111,0,0.782992347987563,0.60798595889893,0.662097635789162,0.60798595889893,0.60798595889893
"297",2017-10-26,0.437548611111111,0,0.739165392641771,0.522965991249598,0.592456974847762,0.522965991249598,0.522965991249598
"298",2017-10-27,0.426576388888889,0,0.702773552602985,0.516307805338932,0.575879644673878,0.516307805338932,0.516307805338932
