"","date","meanRECO","max_pulse_duration","PulseM_15","NonPulseM_15","MeanM_15","case_when(...)","Reco_Combined"
"2159",2018-11-28,0.227853133345833,0,0.521824135089662,0.296883144259147,0.355777366788247,0.296883144259147,0.296883144259147
"2160",2018-11-29,0.277825652383333,0,0.522862935706477,0.305888309258242,0.366488034852317,0.305888309258242,0.305888309258242
"2161",2018-11-30,0.28462265308125,8,0.514415515423865,0.239783251099281,0.313038038954239,0.514415515423865,0.514415515423865
"2162",2018-12-01,0.22462474949375,8,0.474890990248028,0.217997515767867,0.301403925539422,0.474890990248028,0.474890990248028
"2163",2018-12-02,0.233078826304167,8,0.455072772621285,0.22788791854241,0.308615434636119,0.455072772621285,0.455072772621285
"2164",2018-12-03,0.2370844901625,8,0.456769856903723,0.253284596633057,0.335305575849963,0.456769856903723,0.456769856903723
"2165",2018-12-04,0.324411392810417,8,0.456012406390414,0.247743251942038,0.32493738499006,0.456012406390414,0.456012406390414
"2166",2018-12-05,0.352337798835417,8,0.467740809352496,0.238493892221589,0.306993124017286,0.467740809352496,0.467740809352496
"2167",2018-12-06,0.361184939066667,8,0.538812255814014,0.282539887820032,0.364293537440399,0.538812255814014,0.538812255814014
"2168",2018-12-07,0.255967842866667,8,0.507433500122873,0.12371007712094,0.308836971607906,0.507433500122873,0.507433500122873
"2169",2018-12-08,0.306677771008333,14,0.549667372317216,0.0827461872947657,0.345424732813515,0.549667372317216,0.549667372317216
"2170",2018-12-09,0.394258705995833,14,0.522471154444472,0.146859317083398,0.370732179564607,0.522471154444472,0.522471154444472
"2171",2018-12-10,0.437070978325,14,0.493639244870889,0.15791440304518,0.333822036446555,0.493639244870889,0.493639244870889
"2172",2018-12-11,0.485086147397917,14,0.504343857621214,0.174803122780831,0.344650493292261,0.504343857621214,0.504343857621214
"2173",2018-12-12,0.501835792185417,14,0.514784908366595,0.200765911364897,0.372696561094516,0.514784908366595,0.514784908366595
"2174",2018-12-13,0.5068219448375,14,0.464463008438942,0.197789223694075,0.341834622083229,0.464463008438942,0.464463008438942
"2175",2018-12-14,0.352022943027083,14,0.414237421929834,0.19636297183266,0.317432143758049,0.414237421929834,0.414237421929834
"2176",2018-12-15,0.315179991352083,14,0.407527475911384,0.18393032765255,0.2866149262692,0.407527475911384,0.407527475911384
"2177",2018-12-16,0.28674952480625,14,0.429331184325666,0.179210386767267,0.276638824526602,0.429331184325666,0.429331184325666
"2178",2018-12-17,0.170288346845833,14,0.481097213009394,0.199649905544916,0.309475931216907,0.481097213009394,0.481097213009394
"2179",2018-12-18,0.140973580701667,14,0.458676692936138,0.187403488406861,0.285882813308599,0.458676692936138,0.458676692936138
"2180",2018-12-19,0.192093056864375,14,0.442658679628252,0.19984716241031,0.296406902585727,0.442658679628252,0.442658679628252
"2181",2018-12-20,0.17432645064375,14,0.443540656624646,0.202079704789955,0.297063991521154,0.443540656624646,0.443540656624646
"2182",2018-12-21,0.193848722,14,0.437685723233536,0.20163331815996,0.291945854348897,0.437685723233536,0.437685723233536
"2183",2018-12-22,0.22668077291875,0,0.464013039854887,0.219702923789041,0.317180304071991,0.219702923789041,0.219702923789041
"2184",2018-12-23,0.254250129616667,0,0.472850260023944,0.23128793855446,0.328086028983988,0.23128793855446,0.23128793855446
"2185",2018-12-24,0.280914102502083,0,0.478371586953151,0.233790445434183,0.328695154534347,0.233790445434183,0.233790445434183
"2186",2018-12-25,0.332215385358333,0,0.465251679618912,0.231465412177419,0.320322182615212,0.231465412177419,0.231465412177419
"2187",2018-12-26,0.17382201536875,0,0.424763039490616,0.223906359727069,0.3056723227578,0.223906359727069,0.223906359727069
"2188",2018-12-27,0.141747809207917,0,0.389434446530904,0.189645471272636,0.263285070099127,0.189645471272636,0.189645471272636
"2189",2018-12-28,0.101182630890417,8,0.376608356241604,0.170748296257132,0.263608169567196,0.376608356241604,0.376608356241604
"2190",2018-12-29,0.08072744682375,8,0.352527521943888,0.142808805214541,0.267866050243687,0.352527521943888,0.352527521943888
"2191",2018-12-30,0.121973857681458,8,0.370409434650564,0.1508337918612,0.27163299411632,0.370409434650564,0.370409434650564
"2192",2018-12-31,0.109498351330833,8,0.331674416190559,0.175639295621765,0.245112211694746,0.331674416190559,0.331674416190559
"2193",2019-01-01,0.305339203120833,8,0.36449028198556,0.240066192706315,0.288604353420537,0.36449028198556,0.36449028198556
"2194",2019-01-02,0.243462812014583,8,0.316173635476906,0.185806384860739,0.223739644891598,0.316173635476906,0.316173635476906
"2195",2019-01-03,0.4603952407875,8,0.325797637088117,0.214851277661249,0.261903187571465,0.325797637088117,0.325797637088117
"2196",2019-01-04,0.462955224541667,8,0.33449758663475,0.188916275131284,0.227815275693656,0.33449758663475,0.33449758663475
"2197",2019-01-05,0.507146497064583,0,0.367345474662128,0.224248393483267,0.269334566853808,0.224248393483267,0.224248393483267
"2198",2019-01-06,0.5365093288125,8,0.404661975633509,0.206833092011781,0.26372255922333,0.404661975633509,0.404661975633509
"2199",2019-01-07,0.493699147095833,8,0.397830224206049,0.228296137855459,0.289707740022834,0.397830224206049,0.397830224206049
"2200",2019-01-08,0.544597719760417,8,0.399955472121315,0.222167379508565,0.272215854779796,0.399955472121315,0.399955472121315
"2201",2019-01-09,0.577369803533333,8,0.429339410001246,0.245594534357886,0.296453065450608,0.429339410001246,0.429339410001246
"2202",2019-01-10,0.480968645472917,8,0.428805233476965,0.256131864916627,0.310170583707383,0.428805233476965,0.428805233476965
"2203",2019-01-11,0.46281886720625,8,0.426228344846589,0.231235664614729,0.279357399943386,0.426228344846589,0.426228344846589
"2204",2019-01-12,0.415065450458333,8,0.405060490594682,0.245022239626528,0.294933579136851,0.405060490594682,0.405060490594682
"2205",2019-01-13,0.397439491183333,8,0.417625456316482,0.248916822871871,0.29740341073815,0.417625456316482,0.417625456316482
"2206",2019-01-14,0.367772303625,0,0.41406046284624,0.236940379261795,0.281539881556069,0.236940379261795,0.236940379261795
"2207",2019-01-15,0.363490055177083,0,0.412024561297684,0.235456123900923,0.279255370512563,0.235456123900923,0.235456123900923
"2208",2019-01-16,0.353383540539583,0,0.437770839448547,0.253132158654284,0.299243879681043,0.253132158654284,0.253132158654284
"2209",2019-01-17,0.362411836025,0,0.444370664117448,0.252649685406914,0.297917715063026,0.252649685406914,0.252649685406914
"2210",2019-01-18,0.307057323875,0,0.455384279878514,0.274823580594172,0.324694704148371,0.274823580594172,0.274823580594172
"2211",2019-01-19,0.287706041085417,0,0.428178871766613,0.240475996701023,0.283891552310896,0.240475996701023,0.240475996701023
"2212",2019-01-20,0.347331649504167,0,0.424596263956787,0.241626169348811,0.285814096511619,0.241626169348811,0.241626169348811
"2213",2019-01-21,0.368684047997917,0,0.447632739675443,0.273472584574488,0.32424301765508,0.273472584574488,0.273472584574488
"2214",2019-01-22,0.248644145504167,0,0.41785969306622,0.245738155201759,0.292411712268955,0.245738155201759,0.245738155201759
"2215",2019-01-23,0.290295719814583,0,0.38433882524051,0.232204488532077,0.279197172500148,0.232204488532077,0.232204488532077
"2216",2019-01-24,0.30629033941875,0,0.394028162113656,0.241599210022951,0.290791436350528,0.241599210022951,0.241599210022951
"2217",2019-01-25,0.332143568477083,0,0.40726733307282,0.244164820605964,0.293085966499635,0.244164820605964,0.244164820605964
"2218",2019-01-26,0.3492221494625,0,0.404942569709224,0.242170759958025,0.291274861905251,0.242170759958025,0.242170759958025
"2219",2019-01-27,0.286064373964583,0,0.403748735336076,0.223088398303312,0.267441953902885,0.223088398303312,0.223088398303312
"2220",2019-01-28,0.289343357460417,0,0.42695766748447,0.237604135498104,0.284109171458759,0.237604135498104,0.237604135498104
"2221",2019-01-29,0.296361870454167,0,0.450270809468505,0.266431692003511,0.319104652338892,0.266431692003511,0.266431692003511
"2222",2019-01-30,0.319265448027083,0,0.488885190710455,0.282966199396941,0.336585920041727,0.282966199396941,0.282966199396941
"2223",2019-01-31,0.342299439597917,0,0.491672573822415,0.279535924547543,0.33267562353637,0.279535924547543,0.279535924547543
"2224",2019-02-01,0.341361711980952,0,0.485660641982478,0.254238433604915,0.301609132474049,0.254238433604915,0.254238433604915
"2225",2019-02-02,0.3647843226625,0,0.47604757584336,0.276345286622324,0.331816893052905,0.276345286622324,0.276345286622324
"2226",2019-02-03,0.6197559482,0,0.472904938878774,0.259987223925033,0.311484841854269,0.259987223925033,0.259987223925033
"2227",2019-02-04,0.4950569399875,0,0.49148010478747,0.276993946394554,0.331410754429974,0.276993946394554,0.276993946394554
"2228",2019-02-05,0.381357529933333,0,0.489835406315209,0.274986331414256,0.328839919158424,0.274986331414256,0.274986331414256
"2229",2019-02-06,0.396514359122917,0,0.443728348222184,0.239600689039967,0.288820928138783,0.239600689039967,0.239600689039967
