date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,pulseduration_S,pulseduration_M,pulseduration_L,max_pulse_duration,rain_event,days_since_rain_event
2013-01-14,-4.248333333333333,-3.654520833333333,0,0,37.83604878291667,34.51669169645833,8.4375,11.625,7.822291666666667,-0.07083333333333333,2.3291666666666666,4.947916666666667,0.0555866274938125,0.048378499015625,0.10396512650854167,0.0872862932152248,0,0,0,0,0,14
2013-01-15,-4.044083333333333,-3.5251041666666665,0,0,36.492112835625,33.64604490770834,7.6875,11.145833333333334,7.5997916666666665,-0.7874999999999333,1.5208333333333333,4.38125,-0.022015752778124995,0.134367411924375,0.11235165914583334,0.1471488995086237,0,0,0,0,0,15
2013-01-16,3.0620208333333334,3.2864791666666666,0,0,20.80850578625,19.033245978333333,8.875,11.416666666666666,7.3897916666666665,0.9083333333333333,2.475,4.091666666666667,0.06891152665333333,0.09185855139333333,0.1607700780475,0.1230447028168891,0,0,0,0,0,16
2013-01-17,6.895041666666667,7.443291666666667,0,0,24.8190884775,22.443725402916666,10.3125,11.729166666666666,7.567083333333334,3.4854166666666666,4.575,4.75625,0.06605740375766667,0.10519906850639583,0.17125647226291665,0.10608833728466584,0,0,0,0,0,17
2013-01-18,9.024604166666666,10.1569375,0,0,23.878076298125,20.57817536583333,10.270833333333334,12.166666666666666,7.507083333333333,4.572916666645833,5.7,5.714583333333334,0.1189892697279375,0.04637961163958333,0.16536888136729166,0.11162760224780391,0,0,0,0,0,18
2013-01-19,12.640416666666667,13.497291666666667,0,0,22.090686419375,19.180867563333333,10.333333333333334,12.416666666666666,7.589166666666666,6.383333333229166,7.274999999958333,6.522916666666666,0.096029444104375,0.09866918691652084,0.19469863102541668,0.15023677276093306,0,0,0,0,0,19
2013-01-20,12.728541666666667,13.676041666666666,0,0,30.779338720208333,27.09699421375,10.333333333333334,12.479166666666666,7.7908333333333335,8.302083333333334,9.218749999958334,7.745833333333334,0.155019003485625,0.0680110592138125,0.2230300627,0.12135981536078425,0,0,0,0,0,20
2013-01-21,13.851041666666667,14.661875,0,0,31.4515801425,27.718191516666668,10.291666666666666,12.645833333333334,7.885,9.529166666604167,10.483333333333334,8.8,0.17045600945125,0.07467035946520834,0.24512636891458334,0.09319056669056167,0,0,0,0,0,21
2013-01-22,14.08375,15.1225,0,0,28.221344403958334,24.446359186458334,10.145833333333334,12.645833333333334,7.937708333333333,9.96875,11.2312499999375,9.6125,0.25006226219454164,0.09837298229104166,0.3484352444875,0.37978483074999597,0,0,0,0,0,22
2013-01-23,14.282916666666667,15.451041666666667,0,0,28.117302576458332,24.345371970833334,10,12.604166666666666,7.973333333333334,10.08125,11.30625,10.095833333333333,0.196662507935625,0.11135274980041666,0.30801525773125,0.06690855563681027,0,0,0,0,0,23
