"PA","AT2","RH2","AT6","RH6","SWC5","SWC15","SWC30","ST5","ST15","ST30","NEE","RECO"
84.20786,38.67,5.636481709,38.4,6.290056918,11,10,9,45.7,36.3,29.6,0.6934591878,0.6934591878
84.18935,38.61,5.616359375,38.42,6.285803177,10,10,9,45.6,36.7,29.8,1.05786224,1.05786224
84.19516,37.65,6.616280904,37.93,6.935733349,10,10,9,45.3,37,29.9,0.02692787409,0.2424991126
84.19926,35.51,8.32516013,36.12,8.320773778,10,10,9,44.8,37.2,30.1,0.327375729,0.327375729
84.25968,33.76,11.48658478,34.42,10.77753466,10,10,9,44,37.3,30.2,0.7237254084,0.7237254084
84.35721,32.37,14.10530333,33.05,12.9401747,10,10,10,43.1,37.3,30.3,0.3090821673,0.3090821673
84.40862,31.41,15.17808348,32.14,13.76461957,10,10,9,42.1,37.2,30.5,0.2033068778,0.2033068778
84.47019,30.7,16.1306007,31.49,14.43554025,10,10,9,41.1,37,30.6,0.2355688766,0.2355688766
84.47795,30.23,16.98301353,31.06,15.35705378,10,10,9,40.2,36.7,30.8,0.1961503763,0.1961503763
84.51554,29.7,16.99215319,30.67,15.25916799,10,10,9,39.3,36.5,30.9,0.1935812435,0.1935812435
84.54421,29.87,16.29989661,30.7,14.83140624,10,10,10,38.4,36.2,31,0.1937754154,0.1937754154
84.57714,30.16,15.918955,31.13,14.17657914,10,10,10,37.6,35.9,31.1,1.363491388,1.363491388
84.6187,29.87,16.25974908,30.95,14.41431518,10,10,10,36.9,35.6,31.2,0.1954726548,0.1954726548
84.64918,29.38,17.11204625,30.23,15.43633919,10,10,10,36.3,35.3,31.2,0.1909073059,0.1909073059
84.62076,28.65,18.55592679,29.49,17.02953076,10,10,10,35.8,35,31.3,0.5595742957,0.5595742957
84.62317,28.59,19.25830634,29.39,17.830984,10,10,10,35.4,34.8,31.4,0.3213430047,0.3213430047
84.58417,28.3,19.81972023,29.2,18.30872387,9,10,10,34.9,34.5,31.4,0.3069710492,0.3069710492
84.56333,27.82,20.4810562,28.7,18.97371036,9,10,10,34.5,34.3,31.4,0.2653967968,0.2653967968
84.58088,27.29,21.81451314,28.19,20.3109859,9,10,10,34.1,34.1,31.4,0.179858594,0.179858594
84.58006,27.01,22.50623659,28.21,20.68847136,9,10,10,33.7,33.8,31.4,0.05423703988,0.1807132869
84.55411,26.22,23.00607831,27.99,20.38796684,9,10,10,33.3,33.6,31.4,-0.4315563147,0.1800860967
84.54099,26.18,22.57455905,27.51,20.55962144,9,10,10,32.9,33.4,31.4,-0.5870947991,0.1778312587
84.54963,25.93,22.74453873,27.3,20.80680473,9,9,10,32.5,33.2,31.3,0.1774217885,0.1774217885
